topic,caption
a person being late,<emp> <sep> Y U SO LATE?
a person being mean,FELICIA <sep> Y U SO MEAN
a long book,GOSPEL <sep> Y U SO LONG
a person asking for food,kaylin <sep> y u no buy Oscar food
a teenager wanting to drive a car,Y u no <sep> Like meh status!
a baby being praised,BABY!!! <sep> Y U SO AMAZING!!!
a song,Bruno mars <sep> y u no catch grenade for me?
a rug,Y U SO MEAN <sep> RUGMAN
a man with a camera,when you tell him to stop <sep> but he goes in farther
a content creator not getting attention for their video,youtube <sep> y u no play my video?!
a person wanting to go back to a big meal,Suzy899 <sep> Y U No go back to Big Meal?!
a meme about emoticons,FACEBOOK CHAT <sep> Y U NO MEME EMOTICON
a person insulting someone,picnick in Pisa on my honey moon! <sep> y u fucking retarded!
a comedian,mind <sep> y u no come up with good jokes
a person criticizing someone's intelligence,Y u gotta be so <sep> Stupid?
a person being mean,Chantal <sep> Y U SO MEAN!!!
a film maker,ThatFilmMakingGuy <sep> Y U So Awesome?!
a wrestler,"Cena, <sep> How come u only no only 4 moves?"
a gamer,idi <sep> y u so pro!?
a computer program,Median filter <sep> y u so slow
website for generating memes,memegenerator <sep> y u no let me study?
a person being bullied,Because Axel! <sep> Y u in the corner?!
a girl wanting longer hair,femshep <sep> y u no have longer hair
a gym not opening,Gold's Gym <sep> Y U NO Open
a dead battery,BATTERY <sep> Y U NO LAST LONGER
a character in a movie or TV show,Why you no read this in normal voice <sep> <emp>
a breakfast,Ich wil... <sep> Fruehstueck!!!
a TV show,Whoopi Goldberg <sep> y u no make good tv after star trek!!!
a website going out of business,"Facebook! <sep> y u no obcelete yet, like myspace?"
a crochet pattern,CRYSTAL <sep> Y U SO CROCHETY
a person being insulted,THOMAS NIEC <sep> Y U SO STUPID
a person complaining about clutter on a website,Liberal Douche Garofalo <sep> y u no stop cluttering up the main page
a person feeling cold in winter,GLOBAL WARMING <sep> Y U NO WARM ME IN WINTER?!
a person wanting time from someone,WHY U NO <sep> MAKE TIME FO THAT!
a person being busy,Kyle Lees <sep> Y U So BUSY?
a person needing medical attention,Dr.Dre <sep> Y U Need a doctor
a slow internet,wifi <sep> y u so slow?
a country not winning anything,England <sep> Y u no win anything??
a person making a comment about someone's appearance,Laura <sep> y u so ugly?
internet <sep> y u no let me sleep a person wanting to sleep,internet <sep> y u no let me sleep
a girl wanting attention,y u no <sep> touch my tralala
a woman insulting someone,Por la gran <sep> Puta
a woman being insulted,Why you so rude?! <sep> Bitch...
a person being robbed,TEXTBOOKS <sep> Y U ROB ME?
a government's internet censorship policies,Congress <sep> Y U No stop making crappy internet censorship bills?
a guy wanting to be in a relationship,Y U No Guy <sep> Y U No X Me Yes
a person complimenting someone's feet,Y U so <sep> Amazing?
a website wanting to keep its old layout,memegenerator.net <sep> y u no keep old layout!?
a character from a TV show,RHYS <sep> Y U SO BLIND?
a person playing a video game,jake <sep> why you waste time playing rs??
a character being serious,batman <sep> y u so serious?
a person making fun of their own appearance,y u no like me? <sep> because my face fat?
a celebrity being famous without talent,the kardashians <sep> y u no have talent but still famous
a person with intellectual disability,PUBLIC <sep> Y U SO RETARDED
a person waiting for someone,Skyrim <sep> Y U not Here yet?
a complaint about Google Plus,Youtube!!!111 <sep> Y u no get rid of google plus???
Family,Family <sep> y u no Tell me you got Good cereal?!
a food that tastes better when cooked by mom,food <sep> y u taste better when mom cooks you?
a social media platform,facebook y u no <sep> get punch or slap only poke
a person with a certain hair color and eye color,"hitler <sep> y u no hav blond hair, no blue eye"
a noisy neighbor,neighbours? <sep> y u no shut up
a person's changing taste in coffee,Mego <sep> Y U No like Starbucks tuesday anymore
a company's logo change,GOOGLE <sep> Y U NO CHANGE YOUR LOGO FOR EASTER
a protest about unemployment,Occupy wall st. <sep> y u no get jobs!!!
a website not working,TUMBLR <sep> Y U No work ?
a person talking,Hejhhajjjn <sep> Wuujkd
a music artist,Daft punk <sep> y u no release another album
a person not showering,Roxy <sep> y u no shower
a joke about a big foot,'Y U SO' MEME <sep> Y U SO FUNNY?!
a character wanting to die,anjali <sep> y u don't die?
a joke about language,"internet people <sep> y u call spelling ""Grammar"""
a pet complaining about its behavior,"Y u so obsessed with puppys? <sep> All they do is poop, eat and SUCK UP"
a celebrity being admired,Y U SO <sep> SEXY TONI
a country objecting to a food,NORWAY <sep> Y U NO EAT MARGARINE?
a fan wanting to see a character,LEGEND OF KORRA <sep> Y U NO SHOW US ZUKO?!
matrix character,<emp> <sep> Y u no get up yet!!!
a Twitter user finding someone boring,tWITTEr <sep> Y U SO BORING?
a child being cute,WHY U <sep> BE SO CUTE?!?
a video game with a disappointing ending,Mass effect 3 <sep> Yu no good ending?
a person's behavior,Y U SO <sep> MEAN
a food that doesn't taste like apples,applejacks <sep> y u no taste like apples
a person being crazy,Heather <sep> y u so crazy?
a person complaining about a boring life,life <sep> why you so boring
a person making fun of another person's post,CAKE!!! <sep> Y U LI
a person dealing with hair loss,BALD?!? <sep> Y ME HAVE NO HAIR!?!
a baker,Peeta Mellark <sep> Why do know make me bread
a TV show with laugh tracks,70's cartoons <sep> y u always have laugh tracks?!!
a person being angry,Thomas <sep> y u so mad
a cute dog,ZOKO <sep> Y I So CUTE
a man sitting on a toilet in tension,"Y You, <sep> Poop on da toilet seat"
a woman with a kitchen issue,BITCHES! <sep> Y U SO KITCHENLESS & SANDWICHLESS
a person drawing,RACHEL <sep> Y U SO GOOD AT DRAWING?
a request for better search results,florida <sep> why you no give clear results?
a person asking about touchability,Mc hammer <sep> Y u no touchable
website for generating memes,Meme generator <sep> y u no like my memes
a person being called op,Y u so fucking op! <sep> Ciao sono fiora e ti oneshotto
a celebrity being crazy,Metta world peace <sep> Y u so crazy
a car customization show,xzibit <sep> y u no pimp my ride
a music channel,mtv <sep> y u no play music
a computer debate,Y U BUY <sep> MAC ISNTEAD OF PC
a couple cuddling,Lydia <sep> Y u no cuddle eddy?
a game,Call of duty <sep> Y U No make WWII games anymore
a person complaining about a rose,summa rose <sep> y u no like other rose
a child wanting to win a game,Y U NO <sep> let me win war
a cat being petted,CAT <sep> Y U NO PET ME?!
A teenager being frustrated with their lack of understanding of a meme.,not sure if i'm retarded <sep> or just using the wrong meme
a complex life,Life <sep> y u no be simple
a student not completing homework,HOMEWORK <sep> Y U NO DONE!!!
a big foot,Y U NO <sep> PoiNt TOES!?
a person describing their red hair,EMMA BONHAM <sep> Y U SO GINGER?
a company not selling fruit,apple inc. <sep> u y no sell fruit?
a student feeling frustrated with exams,FINALS <sep> Y U NO END?!
a baby wanting a fire,baby <sep> y u no light my fire?
a music streaming service,Pandora <sep> y u no play artist in their station!?
a person waiting for someone to leave,y u no <sep> know when ure leaving
a person frustrated with their iPhone,ipHone <sep> y u put send where i think backspace should be?
a girl being insulted,U so rude! <sep> Whore!
a girl in conflict,Y U So MEAN SCott! <sep> <emp>
a person being mean,Chris <sep> y u so mean?
a teenager telling someone to keep their shirt on,Teenage girls <sep> y u no keep boobs in shirt?
a person being insulted,Y u so fucking <sep> Stupid!!!
a sky,sky <sep> y u no fall
a person being racist,Y U NO <sep> Be racist
a person being in love,Jackson <sep> Why u know love girlfriend
a teenager talking to an adult,"Y usted, pilas con legar despues de las 11 ! <sep> Claro papi, claro !!"
a gamer wanting armor,hey Skyrim warrior <sep> y u no buy knee armour?!?
a beautiful face,y u so <sep> beautiul???
a person expressing frustration,Y U NO <sep> RAMOS
a person not coloring,TEMPLATE <sep> Y U NO COLOR BETWEEN MY ARMS?
a group of girls not wearing clothes,freshman Girls <sep> y u no wear clothes?
Justin Timberlake,y U bringing sexy back <sep> IF YU NOT KNOW HOW TO ACT
a celebrity complaining about music,jUSTIN bIEBER <sep> Y U NO STOP TRYING TO MAKE MUSIC?
a person preferring a different coffee shop,Starbucks customers <sep> Y u no go to tim hortons for double double
a person criticizing America's weight.,America y u so FAT <sep> <emp>
a comic book villain,JOKER <sep> Y U SO SERIOUS
a person waiting for someone,Ben Gallagher <sep> Y U NO here now?
a person wanting comments on social media,I Write on your wall <sep> y u No comment to me anymore?
a girl watching children's films,childrens films <sep> y u no tell truth about life ??
a silent fart,silent fart <sep> y u so deadly?
a software developer,DEVELOPER <sep> Y U NO TEST BEFORE COMMIT?
a woman in a toxic relationship,She going back to him <sep> for the 2569th time
a person typing on a keyboard,Rololololol <sep> Y U CAN TYPE!?
a person asking to be contacted,Y U NO <sep> TEXT ME?!?
a lack of office supplies,bathrooms by office <sep> y u no have paper towels?
a government not listening to the public,government !!! <sep> y u no listen to the public?
a student complaining about reposting,su students <sep> y u repost
a bad smell,HInd . <sep> y u so stinky
a meme about reposts,Y people ruin ifunny with reposts! <sep> <emp>
a person with memory loss,"amnesia patient <sep> y u no no u, y?"
a person not speaking English,sean paul <sep> y u no speak english
a girl praising someone,"Amy, <sep> y u so amazing?"
a magic school,Hogwarts <sep> Y U no just give kids lists of magic words to memorise?
a person complimenting someone,Maria <sep> y u so perfect
matrix character,<emp> <sep> Y U SO POLITICAL
a person frustrated about not receiving a call,You call me. I call you back <sep> Y U No Answer??
a person not finishing their pizza,LOUIE <sep> Y U NO FINISH YOUR SLICE OF PIZZA?
a girl asking a technical question,"Girl, <sep> Y U SO technical?"
a household problem,extension cord <sep> y u no long enough
a man asking for help,VIOLENCE <sep> Y U NO STOP
a man not cleaning the toilet seat after using it,n wen u pee with toilet seat on <sep> y u no clean pee on toilet seat after using
a computer configuration,LINUX <sep> Y U NO TURN NUMLOCK LED ON AT STARTUP??
a proposal of marriage,u like it <sep> y u no put ring on it?!
a person asking why they are not loved,Lore <sep> Porque no me amas?
a person being bored,9GAG <sep> Y U SO BORING??
a person being blocked,nico <sep> y u so cocklblocky
matrix character,<emp> <sep> Voi vitun Hamm
a guy laughing,Jonathan <sep> Y U No lawl
a request for a napkin,subway <sep> y u only give me 1 napkin with footlong meatball sub
a student,college <sep> y u no let me sleep?!
a website for generating memes,memegenerator.net <sep> y u no already see that i typed my meme in english?
a football player,Ochocinco <sep> y u no speak spanish right???
a girl missing her friend,y u sleep so much <sep> miss my phone calls Bianca!
a toilet in struggle,pee <sep> y u no come out in one stream?
a person complaining about others on Facebook,"bORING PEOPLE ON FACEBOOK, <sep> Y U NO SHUT UP WITH YOUR LAME STORIES AND GTFO?"
a request for more Asian representation,asians <sep> Y U NO HAVE GINGER ASIANS?
a teacher not putting up notes on the blackboard,Mr Lecturer <sep> y u no put up on blackboard for a week!
a person asking for credit card information,Give me <sep> your credit card
a big foot,krissy's foot <sep> y u so big?
a girl watching pony cartoon,Sister <sep> Why y u watch my little pony
a teenager wanting to drive a car,16 WITH LICENSE <sep> daddd y u no let me drive
an artist drawing comics,Nathan Fillion <sep> Why u no come to phx Comic-Con
website for generating memes,memegenerator <sep> y u no let me delete this
a man with a camera,Dear pornregisseur <sep> Stop Film dicks when i am coming
a man sitting on a toilet in tension,trying to go to the bathroom <sep> while constipated
matrix character,<emp> <sep> U NO SEE REALITY?!
hobbit show,Daisy <sep> Y u no hobbit
two girls in conflict,Jodie <sep> Y u make horrible meme's about me? From kat).
